sous_categorie,n,nutriscore,sel,ags,proteines,pct_DE,regle_30
decoupes,208,3.0,1.3,2.0,18.0,41.0,franchie
plats_cuisines,142,5.0,1.15,1.8,7.92,30.0,franchie
panes,290,6.0,1.27,2.5,13.0,47.0,franchie
viande_hachee,104,11.0,0.2,8.0,18.0,51.0,franchie
autres_carnes,358,12.0,1.8,2.3,16.5,65.0,franchie
foie_gras,1,14.0,2.88,0.0,16.35,100.0,sous 30
charcuterie_cuite,343,14.0,2.4,0.9,17.5,76.0,franchie
rillettes_pates_mousses,39,18.0,1.5,6.8,15.0,90.0,franchie
saucisses,240,18.0,2.2,5.4,13.0,96.0,franchie
charcuterie_seche,235,28.0,3.6,9.4,19.0,99.0,franchie
