sous_categorie,halal,halal_complet,temoin,temoin_complet,regle_30,libelle
autres_carnes,436.0,358.0,22194.0,15716.0,franchie,Autres produits carnes : categorie OFF ne descendant pas sous l'espece
charcuterie_cuite,379.0,343.0,15180.0,13206.0,franchie,"Charcuterie cuite en tranches (jambons, blancs de volaille cuits)"
panes,338.0,290.0,2482.0,2155.0,franchie,"Produits panes (nuggets, cordons bleus, escalopes panees)"
saucisses,259.0,240.0,6950.0,5778.0,franchie,Saucisses fraiches et merguez
charcuterie_seche,260.0,235.0,6935.0,6031.0,franchie,"Charcuterie seche (saucissons, salami, chorizo, viandes sechees)"
decoupes,391.0,208.0,13885.0,7939.0,franchie,"Decoupes et preparations non transformees (blancs, cuisses, steaks)"
plats_cuisines,164.0,142.0,12253.0,10770.0,franchie,Plats cuisines et sandwichs a base de viande
viande_hachee,119.0,104.0,1447.0,1118.0,franchie,Viande hachee et steaks haches
rillettes_pates_mousses,40.0,39.0,6600.0,5594.0,franchie,"Rillettes, pates, terrines, mousses et tartinables carnes"
foie_gras,1.0,1.0,85.0,77.0,NON franchie,Foie gras et produits de foie gras (halalite disputee)
