marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal
dam,17,-17.0,-19.0,-12.5,sous 30,3,non
petit-navire,15,-15.0,-15.0,-13.0,sous 30,1,non
evasion-festive,50,-15.0,-15.0,-13.0,franchie,3,non
saveurs-forestieres,29,-14.0,-16.0,-6.0,sous 30,4,non
la-table-du-fermier,19,-13.0,-13.0,-13.0,sous 30,5,non
les-mouettes-d-arvor,15,-13.0,-14.0,-5.0,sous 30,1,non
randy,18,-11.5,-13.0,15.0,sous 30,5,non
nature-de-france,126,-10.0,-10.0,-2.5,franchie,14,non
l-etal-du-boucher,535,-10.0,-12.0,-6.0,franchie,20,non
groix-nature,24,-7.0,-13.0,-5.5,sous 30,1,non
boucherie-st-clement,62,-7.0,-13.0,-2.0,franchie,8,non
saint-agaune,56,-6.0,-6.0,-6.0,franchie,4,non
la-nouvelle-agriculture,1039,-4.0,-4.0,-4.0,franchie,20,non
les-delices-de-lyon,24,-4.0,-5.0,-3.0,sous 30,10,non
loue,213,-4.0,-4.0,-3.0,franchie,11,non
le-gaulois-ocb-oui-c-est-bon,17,-4.0,-7.0,2.0,sous 30,3,non
duc,27,-4.0,-4.0,-2.0,sous 30,8,oui
conserverie-des-saveurs,15,-4.0,-6.0,-2.0,sous 30,2,non
l-atelier-du-poissonnier,15,-4.0,-5.0,-2.0,sous 30,1,non
les-legendaires,17,-3.0,-5.0,1.0,sous 30,7,non
andre-krief,31,-3.0,-6.0,3.0,franchie,16,non
golfera,25,-3.0,-8.0,1.0,sous 30,11,non
cochonnailles-du-haut-bois,28,-3.0,-5.0,-1.0,sous 30,8,non
tripes-paillard,19,-3.0,-4.0,-3.0,sous 30,3,non
soelia,15,-3.0,-4.0,0.0,sous 30,3,non
les-fermiers-de-loue,55,-3.0,-4.0,0.0,franchie,5,non
pedrazzoli,19,-3.0,-11.0,11.0,sous 30,7,non
panzani,110,-2.5,-10.012,-1.0,franchie,9,non
lausse,27,-2.0,-2.0,0.0,sous 30,5,non
martini,15,-2.0,-5.0,2.0,sous 30,3,non
maitre-cochon,20,-2.0,-2.0,-1.0,sous 30,8,non
maison-monfort,18,-2.0,-4.0,5.0,sous 30,3,non
herta,449,-2.0,-2.0,-2.0,franchie,13,oui
fleury-michon,1015,-2.0,-2.0,-2.0,franchie,29,oui
nestle,97,-2.0,-6.0,0.0,franchie,17,non
label-rouge,17,-2.0,-4.0,1.0,sous 30,9,non
les-occitanes,26,-2.0,-3.0,0.5,sous 30,9,non
vallegrain,23,-2.0,-3.0,0.0,sous 30,9,non
conserverie-st-christophe,31,-2.0,-3.0,-1.0,franchie,11,non
volandry,30,-2.0,-2.0,-2.0,franchie,5,non
seazon,131,-2.0,-2.0,-2.0,franchie,10,non
volandrie,77,-2.0,-2.0,0.0,franchie,10,non
m-s,32,-2.0,-3.0,0.0,franchie,11,non
dietbon,29,-2.0,-3.0,-1.0,sous 30,7,non
domaine-picard,167,-2.0,-2.0,-2.0,franchie,7,non
kitchen-diet,26,-2.0,-4.0,-1.0,sous 30,7,non
sainsbury-s,16,-2.0,-5.0,0.0,sous 30,10,non
saint-alby,498,-2.0,-2.0,-0.5,franchie,21,non
tradilege,50,-2.0,-2.0,0.0,franchie,15,non
comme-j-aime,94,-2.0,-2.0,-1.0,franchie,7,non
douce-france,43,-2.0,-3.0,0.0,franchie,12,non
raynal-et-roquelaure,65,-2.0,-3.0,-1.0,franchie,13,non
comtesse-du-barry,116,-2.0,-2.0,-1.0,franchie,21,non
charles-keller,15,-2.0,-2.0,3.0,sous 30,4,non
campofrio,25,-2.0,-3.0,10.0,sous 30,8,non
la-table-d-antan,24,-1.5,-2.0,0.0,sous 30,8,non
nobles,18,-1.5,-7.0,1.0,sous 30,9,non
audary,26,-1.5,-2.5,1.0,sous 30,11,non
bigard,225,-1.0,-2.0,0.0,franchie,20,non
bio-village,84,-1.0,-2.0,-1.0,franchie,25,non
bioporc,81,-1.0,-1.0,1.0,franchie,13,non
biocoop,115,-1.0,-2.0,0.0,franchie,21,non
broceliande,82,-1.0,-3.0,0.0,franchie,11,non
brient,46,-1.0,-2.0,0.0,franchie,11,non
bonval,41,-1.0,-4.0,2.0,franchie,10,non
bonjour-campagne,63,-1.0,-2.0,1.0,franchie,17,non
clermont,56,-1.0,-2.0,0.0,franchie,11,non
moritz,66,-1.0,-1.0,-1.0,franchie,4,non
beretta,33,-1.0,-1.0,0.025,franchie,9,non
charal,906,-1.0,-1.0,-1.0,franchie,14,oui
castaing,16,-1.0,-2.025,2.0,sous 30,7,non
carrefour-bio,68,-1.0,-2.0,0.5,franchie,21,non
claude-vetillard,22,-1.0,-1.5,0.0,sous 30,6,non
charcuterie-ruel,49,-1.0,-7.0,-1.0,franchie,8,non
henaff,191,-1.0,-2.0,-1.0,franchie,24,non
zwan,16,-1.0,-2.5,0.5,sous 30,7,oui
u,1832,-1.0,-1.0,0.0,franchie,51,non
zapetti,78,-1.0,-1.0,-1.0,franchie,5,non
parmacotto,28,-1.0,-3.0,14.0,sous 30,6,non
paul-louise,54,-1.0,-1.0,0.0,franchie,12,non
les-trois-chefs,20,-1.0,-2.0,1.5,sous 30,9,non
la-cuisine-d-oceane,55,-1.0,-1.0,0.0,franchie,9,non
les-mousquetaires,21,-1.0,-3.0,1.0,sous 30,13,non
rostain,58,-1.0,-5.0,-1.0,franchie,13,non
jean-larnaudie,82,-1.0,-1.5,0.0,franchie,13,non
rovagnati,65,-1.0,-2.0,0.0,franchie,8,non
duc-de-pressac,16,-1.0,-1.0,0.0,sous 30,5,non
e-leclerc,37,-1.0,-2.0,1.0,franchie,16,non
kermene,59,-1.0,-2.0,0.0,franchie,15,non
esprit-gourmet,21,-1.0,-3.0,1.0,sous 30,7,non
raynal-roquelaure,16,-1.0,-3.0,0.0,sous 30,8,non
pierre-champion,33,-1.0,-1.0,1.0,franchie,12,non
picard,498,-1.0,-1.0,0.0,franchie,36,non
larnaudie,68,-1.0,-2.5,1.0,franchie,11,non
naturalia,23,-1.0,-2.0,2.0,sous 30,10,non
d-aucy,36,-1.0,-2.0,0.0,franchie,7,non
sol-mar,17,-1.0,-3.0,2.0,sous 30,8,non
tendre-plus,505,-1.0,-2.0,-1.0,franchie,17,non
mercadier,37,-1.0,-2.0,1.0,franchie,14,non
micouleau,30,-1.0,-2.0,0.0,franchie,11,non
marks-spencer,125,-1.0,-2.0,0.0,franchie,24,oui
monique-ranou,298,-1.0,-1.0,0.0,franchie,31,non
maitre-jacques,170,-1.0,-2.0,-1.0,franchie,11,non
marks-and-spencer,15,-1.0,-2.0,0.0,sous 30,8,non
