marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes
fleury-michon,71,0.0,-0.1,0.0,franchie,13
royal-halal,29,0.0,-0.1,0.1,sous 30,8
carrefour,39,0.2,0.1,0.4,franchie,22
isla-mondial,73,0.3,0.1,0.48,franchie,22
al-jadid,19,0.34,-0.175,1.2,sous 30,11
halal,19,0.37,0.003,0.6,sous 30,10
id-halal,35,0.4,0.14,0.55,franchie,14
oriental-viandes,80,0.405,0.21,0.537,franchie,31
aia,20,0.44,0.42,0.82,sous 30,7
reghalal,97,0.44,0.3,0.6,franchie,24
wassila,21,0.5,-0.047,0.7,sous 30,12
suntat,22,0.585,0.065,0.925,sous 30,10
arabi,43,0.65,0.4,0.8,franchie,13
volibon,15,0.7,0.3,1.51,sous 30,4
isla-delice,182,0.85,0.583,1.007,franchie,33
